================================================================================
ANÁLISIS LÉXICO - LENGUAJE GO
================================================================================
Archivo analizado: algoritmo2.go
Fecha y hora: 12/11/2025 21:08:45
Usuario: SKEIILAT
================================================================================

TOKENS RECONOCIDOS (269)
--------------------------------------------------------------------------------
Token: LPAREN               | Valor: (                              | Línea:    6 | Columna:   10
Token: RPAREN               | Valor: )                              | Línea:    6 | Columna:   11
Token: LBRACE               | Valor: {                              | Línea:    6 | Columna:   13
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:    8 | Columna:   10
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:    9 | Columna:   16
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   10 | Columna:    9
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   11 | Columna:   13
Token: LBRACKET             | Valor: [                              | Línea:   11 | Columna:   16
Token: RBRACKET             | Valor: ]                              | Línea:   11 | Columna:   17
Token: LBRACE               | Valor: {                              | Línea:   11 | Columna:   21
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   23
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   26
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   29
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   32
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   35
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   38
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   41
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   44
Token: COMMA                | Valor: ,                              | Línea:   11 | Columna:   47
Token: RBRACE               | Valor: }                              | Línea:   11 | Columna:   51
Token: GE                   | Valor: >=                             | Línea:   14 | Columna:   13
Token: LBRACE               | Valor: {                              | Línea:   14 | Columna:   19
Token: DOT                  | Valor: .                              | Línea:   15 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   15 | Columna:   20
Token: RPAREN               | Valor: )                              | Línea:   15 | Columna:   36
Token: RBRACE               | Valor: }                              | Línea:   16 | Columna:    5
Token: LBRACE               | Valor: {                              | Línea:   16 | Columna:   12
Token: DOT                  | Valor: .                              | Línea:   17 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   17 | Columna:   20
Token: RPAREN               | Valor: )                              | Línea:   17 | Columna:   36
Token: RBRACE               | Valor: }                              | Línea:   18 | Columna:    5
Token: GE                   | Valor: >=                             | Línea:   21 | Columna:   19
Token: LBRACE               | Valor: {                              | Línea:   21 | Columna:   25
Token: DOT                  | Valor: .                              | Línea:   22 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   22 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   22 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   22 | Columna:   38
Token: RBRACE               | Valor: }                              | Línea:   23 | Columna:    5
Token: GE                   | Valor: >=                             | Línea:   23 | Columna:   26
Token: LBRACE               | Valor: {                              | Línea:   23 | Columna:   32
Token: DOT                  | Valor: .                              | Línea:   24 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   24 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   24 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   24 | Columna:   38
Token: RBRACE               | Valor: }                              | Línea:   25 | Columna:    5
Token: GE                   | Valor: >=                             | Línea:   25 | Columna:   26
Token: LBRACE               | Valor: {                              | Línea:   25 | Columna:   32
Token: DOT                  | Valor: .                              | Línea:   26 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   26 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   26 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   26 | Columna:   38
Token: RBRACE               | Valor: }                              | Línea:   27 | Columna:    5
Token: LBRACE               | Valor: {                              | Línea:   27 | Columna:   12
Token: DOT                  | Valor: .                              | Línea:   28 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   28 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   28 | Columna:   34
Token: RPAREN               | Valor: )                              | Línea:   28 | Columna:   46
Token: RBRACE               | Valor: }                              | Línea:   29 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   32 | Columna:   14
Token: LPAREN               | Valor: (                              | Línea:   32 | Columna:   33
Token: COMMA                | Valor: ,                              | Línea:   32 | Columna:   36
Token: RPAREN               | Valor: )                              | Línea:   32 | Columna:   40
Token: SEMICOLON            | Valor: ;                              | Línea:   32 | Columna:   41
Token: GT                   | Valor: >                              | Línea:   32 | Columna:   49
Token: LBRACE               | Valor: {                              | Línea:   32 | Columna:   54
Token: DOT                  | Valor: .                              | Línea:   33 | Columna:   12
Token: LPAREN               | Valor: (                              | Línea:   33 | Columna:   20
Token: COLON                | Valor: :                              | Línea:   33 | Columna:   39
Token: COMMA                | Valor: ,                              | Línea:   33 | Columna:   41
Token: RPAREN               | Valor: )                              | Línea:   33 | Columna:   48
Token: RBRACE               | Valor: }                              | Línea:   34 | Columna:    5
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   37 | Columna:   14
Token: GE                   | Valor: >=                             | Línea:   37 | Columna:   22
Token: AND                  | Valor: &&                             | Línea:   37 | Columna:   28
Token: LE                   | Valor: <=                             | Línea:   37 | Columna:   36
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   38 | Columna:   17
Token: OR                   | Valor: ||                             | Línea:   38 | Columna:   29
Token: GT                   | Valor: >                              | Línea:   38 | Columna:   43
Token: DECLARE_ASSIGN       | Valor: :=                             | Línea:   39 | Columna:   17
Token: NOT                  | Valor: !                              | Línea:   39 | Columna:   20
Token: LPAREN               | Valor: (                              | Línea:   39 | Columna:   21
Token: EQ                   | Valor: ==                             | Línea:   39 | Columna:   26
Token: RPAREN               | Valor: )                              | Línea:   39 | Columna:   31
Token: DOT                  | Valor: .                              | Línea:   41 | Columna:    8
Token: LPAREN               | Valor: (                              | Línea:   41 | Columna:   16
Token: COLON                | Valor: :                              | Línea:   41 | Columna:   27
Token: COMMA                | Valor: ,                              | Línea:   41 | Columna:   29
Token: RPAREN               | Valor: )                              | Línea:   41 | Columna:   39
Token: DOT                  | Valor: .                              | Línea:   42 | Columna:    8
